Pressure, Turbidity, PH, Temperature, Salinity
3.18,1.88,1.52,0.66,0.91,5100
3.20,1.88,1.53,0.66,0.91,5767
3.18,1.88,1.52,0.66,1.32,5816
3.17,1.88,1.53,0.66,1.41,5830
3.17,1.88,1.51,0.66,1.45,5845
3.18,1.88,1.51,0.66,1.47,5862
3.17,1.88,1.52,0.66,1.48,5873
3.17,1.88,1.52,0.66,1.53,5904
3.17,1.88,1.52,0.66,1.52,5917
3.18,1.88,1.53,0.66,1.52,5931
3.17,1.88,1.52,0.66,1.52,5942
3.17,1.88,1.52,0.66,1.51,5955
3.16,1.88,1.53,0.66,1.52,5969
3.17,1.88,1.52,0.66,1.52,5980
3.19,1.88,1.52,0.66,1.52,6013
3.17,1.88,1.52,0.66,1.51,6028
3.18,1.88,1.51,0.66,1.51,6041
3.19,1.88,1.52,0.66,1.52,6055
3.17,1.90,1.53,0.66,1.52,6066
3.17,1.88,1.52,0.66,1.51,6079
3.19,1.88,1.53,0.66,1.54,6106
3.18,1.88,1.52,0.66,1.53,6120
3.18,1.88,1.52,0.66,1.52,6131
3.17,1.88,1.52,0.66,1.51,6144
3.17,1.88,1.52,0.66,1.52,6158
3.17,1.88,1.52,0.66,1.52,6169
3.17,1.88,1.52,0.66,1.51,6182
3.17,1.88,1.52,0.66,1.53,6212
3.18,1.88,1.52,0.66,1.52,6225
3.18,1.88,1.52,0.66,1.52,6237
3.18,1.88,1.52,0.66,1.51,6249
3.19,1.88,1.52,0.66,1.52,6263
3.17,1.88,1.52,0.66,1.51,6279
3.18,1.88,1.52,0.66,1.51,6290
3.17,1.88,1.52,0.66,1.54,6320
3.17,1.88,1.52,0.66,1.49,6341
3.17,1.88,1.51,0.66,1.51,6354
3.18,1.88,1.52,0.66,1.51,6366
3.17,1.88,1.51,0.66,1.51,6379
3.17,1.88,1.51,0.66,1.52,6392
3.15,1.88,1.52,0.66,1.50,6433
3.16,1.88,1.51,0.66,1.51,6444
3.17,1.88,1.53,0.66,1.52,6457
3.18,1.88,1.51,0.66,1.52,6471
3.16,1.88,1.52,0.66,1.52,6482
3.17,1.88,1.52,0.66,1.51,6495
3.17,1.88,1.52,0.66,1.54,6522
3.17,1.88,1.51,0.66,1.53,6536
3.18,1.88,1.51,0.66,1.52,6541
3.16,1.88,1.52,0.66,1.52,6558
3.18,1.88,1.52,0.66,1.52,6571
3.17,1.88,1.53,0.66,1.52,6582
3.17,1.88,1.52,0.66,1.52,6595
3.17,1.88,1.51,0.66,1.53,6625
3.19,1.88,1.52,0.66,1.53,6639
3.18,1.88,1.51,0.66,1.52,6650
3.17,1.88,1.51,0.66,1.51,6663
3.17,1.88,1.52,0.66,1.52,6676
3.17,1.88,1.52,0.66,1.52,6694
3.18,1.88,1.51,0.66,1.49,6707
3.17,1.88,1.53,0.66,1.50,6746
3.17,1.88,1.52,0.66,1.52,6760
3.17,1.88,1.52,0.66,1.52,6771
3.17,1.88,1.53,0.66,1.51,6784
