Pressure, Turbidity, PH, Temperature, Salinity
3.22,1.67,0.02,0.52,0.93,15014
3.22,1.67,0.02,0.63,1.40,15042
3.21,1.67,0.02,0.70,1.43,15142
3.21,1.67,0.02,0.75,1.44,15244
3.23,1.68,0.02,0.79,1.46,15340
3.21,1.67,0.02,0.81,1.45,15445
3.23,1.66,0.02,0.83,1.46,15542
3.21,1.67,0.02,0.85,1.46,15642
3.24,1.67,0.02,0.86,1.47,15742
3.22,1.68,0.02,0.87,1.46,15844
3.22,1.66,0.02,0.88,1.47,15940
3.22,1.67,0.02,0.89,1.47,16045
3.20,1.67,0.02,0.90,1.47,16142
3.21,1.66,0.02,0.90,1.46,16242
3.23,1.67,0.02,0.91,1.47,16343
3.22,1.68,0.02,0.91,1.47,16443
3.22,1.67,0.02,0.91,1.47,16543
3.23,1.67,0.02,0.91,1.46,16644
3.23,1.67,0.02,0.91,1.47,16740
3.20,1.66,0.02,0.90,1.43,16862
3.23,1.67,0.02,0.92,1.50,16942
3.22,1.67,0.02,0.92,1.47,17043
3.22,1.67,0.02,0.92,1.47,17143
3.21,1.67,0.02,0.91,1.46,17244
3.22,1.67,0.02,0.92,1.49,17340
3.21,1.67,0.02,0.92,1.47,17445
3.22,1.67,0.02,0.92,1.47,17542
3.22,1.67,0.02,0.91,1.46,17644
3.23,1.67,0.02,0.92,1.47,17744
3.24,1.67,0.02,0.91,1.47,17846
3.20,1.67,0.02,0.92,1.49,17941
3.21,1.67,0.02,0.91,1.46,18046
3.22,1.67,0.02,0.91,1.45,18156
3.23,1.67,0.02,0.92,1.49,18243
3.21,1.67,0.02,0.92,1.49,18342
3.22,1.67,0.02,0.91,1.47,18442
3.23,1.67,0.02,0.92,1.47,18540
3.21,1.67,0.02,0.91,1.47,18642
3.20,1.67,0.02,0.92,1.49,18740
3.22,1.67,0.02,0.92,1.47,18842
3.22,1.67,0.02,0.91,1.47,18941
3.23,1.67,0.03,0.91,1.46,19045
3.21,1.67,0.02,0.91,1.47,19141
3.21,1.67,0.02,0.91,1.46,19245
3.21,1.67,0.02,0.91,1.47,19340
3.22,1.67,0.02,0.91,1.46,19442
3.22,1.67,0.02,0.92,1.49,19540
3.22,1.67,0.02,0.91,1.47,19646
3.21,1.67,0.02,0.91,1.47,19743
3.24,1.67,0.02,0.91,1.46,19846
3.22,1.67,0.02,0.91,1.47,19944
3.22,1.67,0.02,0.91,1.46,20047
3.22,1.67,0.02,0.92,1.47,20143
3.22,1.67,0.02,0.91,1.46,20246
3.22,1.67,0.02,0.91,1.46,20343
3.21,1.67,0.02,0.90,1.43,20458
3.21,1.67,0.02,0.88,1.37,20581
3.22,1.67,0.02,0.92,1.53,20636
3.23,1.67,0.02,0.92,1.50,20735
3.22,1.67,0.02,0.92,1.49,20836
3.22,1.67,0.02,0.91,1.49,20935
3.20,1.67,0.02,0.91,1.49,21036
3.22,1.67,0.02,0.91,1.48,21135
3.23,1.67,0.02,0.91,1.47,21236
3.23,1.67,0.02,0.91,1.46,21341
3.21,1.67,0.02,0.91,1.47,21436
3.21,1.67,0.02,0.91,1.47,21535
3.21,1.67,0.02,0.91,1.47,21636
3.23,1.67,0.02,0.91,1.47,21735
3.21,1.67,0.02,0.91,1.47,21836
3.22,1.67,0.02,0.91,1.47,21935
3.22,1.67,0.02,0.91,1.47,22036
3.23,1.67,0.02,0.91,1.47,22135
3.22,1.67,0.02,0.90,1.47,22236
3.20,1.67,0.02,0.91,1.47,22335
3.22,1.67,0.02,0.91,1.47,22436
3.22,1.67,0.02,0.90,1.47,22535
3.21,1.67,0.02,0.90,1.47,22636
3.22,1.67,0.02,0.91,1.47,22735
3.22,1.67,0.02,0.90,1.47,22836
3.22,1.67,0.02,0.90,1.47,22935
3.22,1.67,0.02,0.90,1.46,23036
3.22,1.67,0.02,0.90,1.47,23135
3.23,1.67,0.02,0.90,1.46,23236
3.21,1.67,0.02,0.90,1.47,23335
3.20,1.67,0.02,0.90,1.47,23436
3.23,1.67,0.02,0.90,1.47,23535
3.22,1.67,0.02,0.90,1.46,23636
3.23,1.67,0.02,0.90,1.47,23735
3.21,1.67,0.02,0.90,1.47,23836
3.22,1.67,0.02,0.90,1.47,23935
3.21,1.67,0.02,0.90,1.47,24036
3.22,1.67,0.02,0.90,1.47,24135
3.22,1.68,0.02,0.90,1.46,24236
3.22,1.67,0.02,0.90,1.47,24335
3.21,1.67,0.02,0.90,1.47,24436
3.22,1.67,0.02,0.90,1.46,24541
3.22,1.67,0.02,0.90,1.47,24636
3.22,1.67,0.02,0.90,1.47,24735
3.21,1.67,0.02,0.90,1.47,24836
3.21,1.67,0.02,0.90,1.47,24935
3.22,1.67,0.02,0.90,1.46,25036
3.22,1.67,0.02,0.90,1.47,25135
3.22,1.67,0.02,0.90,1.47,25236
3.23,1.67,0.02,0.90,1.47,25335
3.23,1.67,0.02,0.90,1.46,25436
3.22,1.67,0.02,0.90,1.47,25535
3.22,1.67,0.02,0.90,1.47,25636
3.22,1.67,0.02,0.90,1.47,25735
3.22,1.67,0.02,0.90,1.46,25836
3.23,1.67,0.02,0.90,1.46,25935
3.24,1.67,0.02,0.90,1.47,26036
3.21,1.67,0.02,0.90,1.47,26135
3.22,1.67,0.02,0.90,1.46,26236
3.23,1.67,0.02,0.90,1.46,26335
3.21,1.67,0.02,0.90,1.46,26436
3.22,1.68,0.02,0.90,1.47,26535
3.22,1.67,0.02,0.90,1.46,26636
3.22,1.67,0.02,0.81,1.34,26856
3.22,1.67,0.02,0.89,1.57,26873
