Pressure, Turbidity, PH, Temperature, Salinity
3.21,2.00,0.02,0.52,0.91,34607
3.22,2.00,0.02,0.61,1.13,34683
3.20,2.00,0.02,0.65,1.14,34782
3.20,2.00,0.02,0.68,1.14,34883
3.20,2.00,0.02,0.71,1.15,34982
3.24,2.00,0.02,0.73,1.15,35083
3.21,2.00,0.02,0.74,1.15,35182
3.21,2.00,0.02,0.75,1.15,35283
3.21,2.00,0.02,0.75,1.15,35382
3.21,1.99,0.02,0.76,1.15,35483
3.20,2.00,0.02,0.76,1.15,35582
3.20,2.00,0.02,0.77,1.15,35683
3.22,1.99,0.03,0.77,1.15,35782
3.20,1.99,0.02,0.77,1.15,35883
3.22,1.99,0.02,0.77,1.15,35982
3.21,1.99,0.02,0.77,1.15,36083
3.21,1.99,0.02,0.77,1.15,36182
3.22,1.99,0.02,0.77,1.15,36283
3.20,1.99,0.02,0.77,1.15,36382
3.21,1.99,0.02,0.77,1.15,36483
3.20,1.99,0.02,0.77,1.16,36582
3.21,1.99,0.02,0.77,1.15,36683
3.21,1.99,0.02,0.78,1.15,36782
3.22,1.99,0.02,0.78,1.15,36883
3.21,1.99,0.02,0.76,1.06,37000
3.21,1.99,0.03,0.78,1.15,37083
3.22,1.99,0.02,0.78,1.16,37182
3.21,1.99,0.02,0.78,1.15,37283
3.20,1.99,0.02,0.78,1.15,37382
3.22,1.99,0.02,0.77,1.15,37483
3.22,1.99,0.02,0.77,1.15,37582
3.21,1.99,0.02,0.77,1.15,37683
3.22,1.99,0.02,0.77,1.14,37788
3.22,1.99,0.02,0.78,1.15,37883
3.22,1.99,0.02,0.77,1.15,37982
3.20,1.99,0.02,0.77,1.15,38083
3.22,1.99,0.02,0.77,1.16,38182
3.22,1.99,0.02,0.77,1.15,38283
3.20,1.99,0.02,0.77,1.16,38382
3.21,1.99,0.02,0.77,1.15,38483
3.20,1.99,0.03,0.77,1.15,38582
3.22,1.99,0.02,0.77,1.15,38683
3.20,1.99,0.02,0.77,1.16,38782
3.19,1.99,0.02,0.77,1.15,38883
3.21,1.98,0.02,0.77,1.15,38982
3.21,1.99,0.02,0.77,1.15,39083
3.20,1.99,0.02,0.77,1.15,39182
3.20,1.98,0.03,0.77,1.15,39283
3.21,1.98,0.02,0.77,1.15,39382
3.21,1.99,0.02,0.77,1.15,39483
3.20,1.99,0.02,0.77,1.15,39582
3.21,1.98,0.02,0.77,1.15,39683
3.21,1.98,0.02,0.77,1.15,39782
3.21,1.98,0.02,0.77,1.15,39883
3.19,1.98,0.02,0.77,1.15,39982
3.21,1.98,0.02,0.77,1.15,40083
3.21,1.98,0.02,0.77,1.15,40182
3.20,1.98,0.02,0.78,1.15,40283
3.21,1.98,0.02,0.77,1.15,40382
3.21,1.98,0.02,0.77,1.15,40483
3.20,1.98,0.02,0.77,1.15,40582
3.21,1.98,0.02,0.78,1.15,40683
3.20,1.98,0.02,0.77,1.16,40782
3.21,1.98,0.02,0.77,1.15,40883
3.21,1.98,0.02,0.77,1.14,40988
3.21,1.98,0.02,0.77,1.15,41083
3.23,1.98,0.03,0.77,1.15,41182
3.20,1.98,0.02,0.77,1.14,41283
3.22,1.98,0.02,0.77,1.15,41382
3.20,1.98,0.02,0.77,1.15,41483
3.23,1.98,0.02,0.77,1.15,41582
3.20,1.98,0.02,0.77,1.15,41683
3.20,1.98,0.02,0.77,1.15,41782
3.21,1.98,0.02,0.77,1.15,41883
3.22,1.98,0.02,0.77,1.15,41982
3.21,1.98,0.02,0.77,1.15,42083
3.20,1.98,0.02,0.77,1.16,42182
3.21,1.98,0.02,0.77,1.15,42283
3.22,1.97,0.02,0.77,1.15,42382
3.21,1.98,0.02,0.77,1.15,42483
3.20,1.98,0.02,0.77,1.15,42582
3.22,1.98,0.02,0.77,1.15,42683
3.20,1.98,0.02,0.77,1.15,42782
3.21,1.97,0.02,0.77,1.15,42883
3.22,1.97,0.02,0.77,1.15,42982
3.23,1.97,0.02,0.77,1.15,43083
3.23,1.97,0.02,0.77,1.15,43182
3.22,1.97,0.02,0.77,1.15,43283
3.21,1.97,0.02,0.77,1.15,43382
3.21,1.98,0.02,0.77,1.15,43483
3.23,1.97,0.02,0.77,1.15,43582
3.20,1.97,0.02,0.77,1.15,43683
3.20,1.97,0.02,0.77,1.15,43782
3.20,1.97,0.02,0.77,1.15,43883
3.22,1.97,0.02,0.77,1.15,43982
3.21,1.97,0.02,0.77,1.15,44083
3.22,1.97,0.02,0.77,1.14,44195
3.21,1.97,0.02,0.77,1.15,44283
3.21,1.97,0.02,0.77,1.15,44382
3.22,1.97,0.02,0.77,1.14,44483
3.22,1.97,0.02,0.78,1.15,44582
3.23,1.97,0.02,0.77,1.15,44683
3.20,1.97,0.02,0.78,1.15,44782
3.21,1.97,0.02,0.77,1.15,44883
3.22,1.97,0.02,0.77,1.15,44982
3.23,1.97,0.02,0.77,1.15,45083
3.20,1.97,0.02,0.77,1.15,45182
3.19,1.97,0.02,0.77,1.15,45283
3.21,1.97,0.02,0.77,1.15,45382
3.22,1.97,0.02,0.77,1.15,45483
3.22,1.97,0.02,0.77,1.15,45582
3.21,1.97,0.02,0.77,1.15,45683
3.20,1.97,0.02,0.77,1.15,45782
3.22,1.97,0.02,0.77,1.14,45883
3.20,1.97,0.02,0.77,1.15,45982
3.22,1.97,0.02,0.77,1.15,46083
3.21,1.96,0.02,0.77,1.15,46182
3.20,1.96,0.02,0.77,1.15,46283
3.22,1.96,0.02,0.77,1.15,46382
3.21,1.96,0.02,0.77,1.15,46483
3.21,1.97,0.02,0.77,1.15,46582
3.21,1.96,0.02,0.77,1.15,46683
3.23,1.97,0.02,0.77,1.15,46782
3.21,1.96,0.02,0.78,1.15,46883
3.21,1.96,0.02,0.77,1.15,46982
3.22,1.96,0.03,0.77,1.16,47083
3.22,1.96,0.02,0.77,1.15,47182
3.20,1.96,0.02,0.77,1.15,47283
3.20,1.96,0.02,0.77,1.13,47388
3.20,1.96,0.02,0.77,1.15,47483
3.21,1.96,0.02,0.77,1.16,47582
3.22,1.96,0.02,0.77,1.15,47683
3.21,1.96,0.02,0.77,1.15,47782
3.21,1.96,0.02,0.77,1.15,47883
3.22,1.96,0.02,0.77,1.15,47982
3.21,1.96,0.02,0.77,1.15,48083
3.22,1.96,0.02,0.77,1.15,48182
3.22,1.96,0.02,0.77,1.15,48283
